iter	Logloss
0	0.6921058315
1	0.6907224692
2	0.6896741272
3	0.6886137447
4	0.6876984997
5	0.6866400155
6	0.6856964046
7	0.6845568365
8	0.6836479914
9	0.6822243854
10	0.6810740241
11	0.6799329916
12	0.6788918089
13	0.6782334833
14	0.677285642
15	0.6764928636
16	0.6756309875
17	0.674809084
18	0.6738776222
19	0.6727982026
20	0.6716745258
21	0.6709901123
22	0.6700238305
23	0.6692983057
24	0.6683687964
25	0.6672738651
26	0.6663448439
27	0.6649720035
28	0.6645064896
29	0.6635250215
30	0.6628348048
31	0.6615518889
32	0.6608004931
33	0.6599229426
34	0.6591090661
35	0.6581006966
36	0.6571570858
37	0.6563256365
38	0.6553661343
39	0.6540291444
40	0.6535949251
41	0.6524458655
42	0.6516444634
43	0.6508700712
44	0.6501653732
45	0.6496668834
46	0.6491887323
47	0.6484915189
48	0.6474617259
49	0.6465543453
50	0.6457629227
51	0.6449755137
52	0.6437824139
53	0.6431854301
54	0.6422912832
55	0.6416736894
56	0.6408226065
57	0.6400567837
58	0.6393163437
59	0.6389041445
60	0.6382664831
61	0.6374599828
62	0.6364378372
63	0.6356348622
64	0.6347300849
65	0.6342829572
66	0.6335524968
67	0.6325317613
68	0.631717017
69	0.6312562759
70	0.6306580989
71	0.6301117179
72	0.6292667095
73	0.6286125602
74	0.6272936853
75	0.6267654195
76	0.6262486518
77	0.6252632787
78	0.6245376453
79	0.6240705043
80	0.6236778303
81	0.6230142438
82	0.6220940632
83	0.6218145813
84	0.6215447535
85	0.6210452874
86	0.6204276936
87	0.620038328
88	0.6194122191
89	0.6191099577
90	0.6185644446
91	0.6176439929
92	0.6171710485
93	0.6167266326
94	0.6159543014
95	0.6152253054
96	0.6144111034
97	0.6141477841
98	0.6133987747
99	0.6126417382
100	0.6119189794
101	0.6113454801
102	0.6110390425
103	0.6105588304
104	0.6099268639
105	0.609296416
106	0.6088149565
107	0.6085452372
108	0.6082496469
109	0.6076842832
110	0.6073048429
111	0.6064203501
112	0.6062004744
113	0.6057588789
114	0.6053604558
115	0.605003578
116	0.6047024556
117	0.6043985672
118	0.6040076287
119	0.6033507676
120	0.6029800594
121	0.6024930135
122	0.6016490898
123	0.6008132474
124	0.6001766708
125	0.5997513462
126	0.598955639
127	0.59855906
128	0.5978522468
129	0.5971012306
130	0.5965799613
131	0.5963222283
132	0.5956730145
133	0.5951878669
134	0.5947579864
135	0.5942317273
136	0.5938432838
137	0.5934450234
138	0.5930425326
139	0.5925898727
140	0.5922098901
141	0.5918839273
142	0.5914749823
143	0.5911460907
144	0.5906485771
145	0.5902258559
146	0.5898149583
147	0.5892708011
148	0.5890673591
149	0.5888192803
150	0.5884229724
151	0.5878339614
152	0.5874048945
153	0.5869707294
154	0.5862536112
155	0.5858140224
156	0.5851769034
157	0.5849929866
158	0.5846810169
159	0.5844904832
160	0.5839367261
161	0.5833130036
162	0.5826467595
163	0.5821018429
164	0.5817867275
165	0.5814773069
166	0.5810657585
167	0.5806511186
168	0.5801574015
169	0.5796955214
170	0.579290156
171	0.5790239621
172	0.5788110287
173	0.5785883326
174	0.5783282674
175	0.5781846486
176	0.5779350511
177	0.5775364653
178	0.5769142614
179	0.5765564616
180	0.5762467156
181	0.5758341367
182	0.5755890951
183	0.5752184954
184	0.5749967756
185	0.5744681843
186	0.5740692189
187	0.5737121242
188	0.5734056324
189	0.5731546247
190	0.5728112519
191	0.572317101
192	0.5718397634
193	0.5711014929
194	0.5707955434
195	0.5704909499
196	0.5702740572
197	0.5698957017
198	0.5695689795
199	0.5693686833
200	0.5689497044
201	0.5685838234
202	0.5683245717
203	0.5680749743
204	0.5677641977
205	0.5675231697
206	0.5673428867
207	0.5671210042
208	0.566998158
209	0.5667620112
210	0.5665846571
211	0.5661330278
212	0.5658775185
213	0.5656556902
214	0.5653388392
215	0.565014178
216	0.5646909271
217	0.5643002598
218	0.5635939347
219	0.5629038264
220	0.56256604
221	0.5623303271
222	0.562075306
223	0.5615748093
224	0.5614854272
225	0.5610937294
226	0.5609074805
227	0.5607344653
228	0.5604557969
229	0.5602066875
230	0.5597724682
231	0.559182047
232	0.5590432552
233	0.558811122
234	0.5584144344
235	0.5582044298
236	0.5579260868
237	0.5576353779
238	0.5574925183
239	0.5571280474
240	0.5566205542
241	0.5562155685
242	0.5559903233
243	0.5556338252
244	0.5554073326
245	0.5550992679
246	0.5548608432
247	0.5545990967
248	0.5543304078
249	0.5540787494
250	0.5535720697
251	0.553390919
252	0.5532578763
253	0.5528878732
254	0.5527739218
255	0.5523457228
256	0.5521629992
257	0.5519644385
258	0.5514309117
259	0.5508457515
260	0.5506619974
261	0.5499821398
262	0.5497964332
263	0.5493432853
264	0.5489868414
265	0.5486926071
266	0.5483300887
267	0.548022024
268	0.5477595182
269	0.5476895528
270	0.5473440648
271	0.5469173301
272	0.5465356119
273	0.5462885093
274	0.5461523208
275	0.5458238631
276	0.5454345518
277	0.5449979461
278	0.5448442934
279	0.5444789547
280	0.5442366249
281	0.5436415394
282	0.5434133112
283	0.5430279049
284	0.5426993387
285	0.5425542012
286	0.5424340126
287	0.5421749779
288	0.5419432243
289	0.5418175578
290	0.5415106863
291	0.5408834926
292	0.5407542465
293	0.5406346545
294	0.5404198227
295	0.5402300484
296	0.5400383215
297	0.5397060672
298	0.5393831959
299	0.5391465068
300	0.5389321089
301	0.5385942683
302	0.5383256879
303	0.5379841049
304	0.5377249618
305	0.537546089
306	0.5373550672
307	0.5370557347
308	0.536925458
309	0.5366912638
310	0.5364761066
311	0.536322942
312	0.5359705659
313	0.5358583501
314	0.5355356415
315	0.5352114685
316	0.5350306975
317	0.5346160033
318	0.53447092
319	0.5341131203
320	0.533983386
321	0.5338614618
322	0.5336319319
323	0.5334426457
324	0.5330613614
325	0.5329312474
326	0.5326936363
327	0.5324690419
328	0.5322851252
329	0.5319815079
330	0.53180833
331	0.5316700805
332	0.5315290107
333	0.5308515396
334	0.5307229443
335	0.5304538216
336	0.5302664337
337	0.5301312757
338	0.5299031017
339	0.5297532456
340	0.5295816948
341	0.5294462657
342	0.5291383094
343	0.5290139446
344	0.5287213374
345	0.5284530825
346	0.528154455
347	0.527904749
348	0.5277202356
349	0.5273794119
350	0.5272171898
351	0.5269536535
352	0.5266728157
353	0.526505658
354	0.5262791112
355	0.526176441
356	0.5260889029
357	0.5258479833
358	0.5256096128
359	0.5254952275
360	0.5254072556
361	0.5251399769
362	0.524918691
363	0.5247202388
364	0.5244923902
365	0.524197722
366	0.5239494804
367	0.5238554882
368	0.5235180272
369	0.5234098249
370	0.523247657
371	0.5230743164
372	0.5226975337
373	0.5225192576
374	0.5222375519
375	0.5220709909
376	0.5217842413
377	0.5213096698
378	0.5211650204
379	0.5210364793
380	0.5207538516
381	0.5205703145
382	0.5204624919
383	0.5202679989
384	0.5200779534
385	0.5199346599
386	0.5197319772
387	0.5194921423
388	0.5191481187
389	0.5188477556
390	0.5186603677
391	0.5183660249
392	0.5180043743
393	0.5177895426
394	0.5174916202
395	0.5173835263
396	0.5171756369
397	0.5169479511
398	0.516755953
399	0.5165507212
400	0.5164050955
401	0.5161584811
402	0.5160982783
403	0.5159704423
404	0.5158312166
405	0.5156474625
406	0.5152822323
407	0.5149587101
408	0.5148431859
409	0.5147683934
410	0.5145984154
411	0.5144973724
412	0.5143523433
413	0.5141658232
414	0.5139924826
415	0.5139130257
416	0.5137799288
417	0.5136614215
418	0.513502074
419	0.5133107267
420	0.513187772
421	0.5129100257
422	0.5126513164
423	0.5123704244
424	0.5120707664
425	0.5119304017
426	0.5116475028
427	0.51152406
428	0.5113948681
429	0.5112239139
430	0.51097193
431	0.5108784801
432	0.5106352283
433	0.5103209806
434	0.5102052937
435	0.5099145305
436	0.5098390872
437	0.5096771363
438	0.5094643655
439	0.5090264039
440	0.5089620248
441	0.5088343516
442	0.5086693634
443	0.5083370006
444	0.5082451778
445	0.5080421697
446	0.5077821588
447	0.5073809696
448	0.5071910868
449	0.5071211214
