iter	Passed	Remaining
0	6	6220
1	12	6237
2	18	5992
3	23	5850
4	29	5867
5	35	5802
6	40	5763
7	47	5856
8	52	5810
9	58	5793
10	67	6034
11	73	6032
12	80	6105
13	86	6118
14	93	6112
15	99	6089
16	104	6055
17	111	6058
18	116	6025
19	122	5994
20	128	6008
21	134	5984
22	140	5963
23	147	5990
24	152	5965
25	159	5969
26	165	5948
27	170	5924
28	177	5945
29	183	5940
30	189	5932
31	195	5917
32	201	5902
33	207	5900
34	213	5886
35	219	5871
36	225	5879
37	231	5864
38	237	5847
39	243	5843
40	249	5829
41	255	5819
42	260	5804
43	266	5792
44	273	5797
45	279	5803
46	285	5787
47	291	5787
48	297	5776
49	303	5770
50	309	5760
51	315	5749
52	321	5753
53	327	5740
54	333	5728
55	339	5726
56	345	5715
57	351	5704
58	357	5704
59	363	5695
60	370	5698
61	376	5688
62	381	5680
63	390	5704
64	397	5712
65	404	5720
66	410	5710
67	416	5708
68	422	5699
69	428	5690
70	435	5692
71	441	5693
72	448	5691
73	454	5681
74	460	5673
75	466	5672
76	472	5663
77	478	5658
78	486	5671
79	492	5662
80	499	5662
81	504	5653
82	510	5643
83	517	5643
84	523	5635
85	529	5630
86	536	5628
87	542	5620
88	549	5625
89	555	5615
90	561	5608
91	567	5599
92	573	5592
93	580	5598
94	587	5595
95	593	5588
96	599	5583
97	605	5577
98	612	5573
99	618	5565
100	624	5556
101	631	5557
102	637	5548
103	643	5541
104	649	5533
105	655	5525
106	661	5522
107	667	5514
108	673	5504
109	679	5500
110	685	5492
111	692	5489
112	699	5487
113	704	5478
114	711	5476
115	717	5470
116	723	5463
117	729	5456
118	735	5448
119	742	5447
120	748	5439
121	754	5429
122	760	5424
123	766	5415
124	772	5408
125	778	5401
126	784	5393
127	792	5400
128	799	5395
129	805	5388
130	811	5383
131	817	5376
132	824	5374
133	831	5370
134	836	5362
135	843	5358
136	849	5351
137	855	5346
138	861	5337
139	867	5329
140	874	5324
141	879	5316
142	886	5310
143	893	5313
144	899	5305
145	906	5303
146	912	5294
147	918	5286
148	924	5280
149	930	5273
150	936	5266
151	943	5265
152	950	5259
153	956	5253
154	962	5246
155	968	5239
156	974	5232
157	980	5224
158	986	5220
159	992	5213
160	998	5205
161	1007	5209
162	1012	5201
163	1019	5197
164	1025	5190
165	1031	5182
166	1038	5179
167	1044	5172
168	1050	5165
169	1058	5169
170	1067	5173
171	1073	5165
172	1078	5157
173	1085	5151
174	1091	5143
175	1096	5134
176	1104	5135
177	1110	5127
178	1116	5122
179	1122	5115
180	1128	5108
181	1135	5102
182	1141	5094
183	1146	5086
184	1153	5081
185	1159	5074
186	1165	5068
187	1171	5061
188	1177	5054
189	1184	5049
190	1190	5041
191	1196	5034
192	1205	5038
193	1211	5031
194	1217	5027
195	1223	5019
196	1229	5012
197	1235	5005
198	1241	4997
199	1248	4992
200	1254	4985
201	1259	4977
202	1266	4971
203	1272	4964
204	1278	4957
205	1284	4950
206	1290	4943
207	1297	4939
208	1303	4932
209	1308	4924
210	1316	4921
211	1322	4914
212	1328	4908
213	1334	4901
214	1340	4894
215	1347	4889
216	1353	4883
217	1359	4876
218	1365	4869
219	1371	4861
220	1377	4856
221	1383	4849
222	1389	4842
223	1396	4838
224	1398	4818
225	1404	4810
226	1411	4805
227	1417	4798
228	1422	4790
229	1429	4785
230	1435	4777
231	1440	4769
232	1447	4763
233	1453	4758
234	1460	4752
235	1465	4745
236	1471	4738
237	1478	4733
238	1484	4726
239	1490	4720
240	1496	4713
241	1502	4706
242	1510	4704
243	1516	4697
244	1522	4690
245	1528	4686
246	1534	4679
247	1541	4674
248	1547	4667
249	1553	4660
250	1561	4660
251	1567	4653
252	1574	4648
253	1580	4641
254	1586	4634
255	1592	4628
256	1598	4621
257	1606	4620
258	1613	4615
259	1619	4609
260	1626	4604
261	1632	4597
262	1639	4592
263	1644	4585
264	1650	4578
265	1657	4572
266	1662	4565
267	1669	4559
268	1675	4552
269	1678	4537
270	1684	4530
271	1690	4524
272	1696	4517
273	1702	4512
274	1708	4505
275	1714	4498
276	1722	4495
277	1728	4489
278	1735	4484
279	1741	4477
280	1747	4470
281	1754	4466
282	1761	4461
283	1767	4456
284	1773	4449
285	1779	4442
286	1785	4436
287	1791	4429
288	1797	4423
289	1803	4416
290	1809	4409
291	1817	4406
292	1823	4400
293	1829	4393
294	1836	4388
295	1842	4381
296	1848	4375
297	1854	4368
298	1860	4362
299	1866	4356
300	1873	4349
301	1879	4343
302	1885	4336
303	1891	4329
304	1897	4323
305	1903	4316
306	1909	4309
307	1915	4304
308	1921	4297
309	1927	4290
310	1933	4284
311	1939	4277
312	1946	4271
313	1952	4265
314	1958	4258
315	1964	4252
316	1970	4245
317	1977	4240
318	1982	4233
319	1988	4226
320	1995	4220
321	2001	4213
322	2006	4206
323	2016	4206
324	2022	4200
325	2029	4196
326	2036	4190
327	2042	4185
328	2050	4182
329	2058	4179
330	2064	4173
331	2070	4166
332	2077	4160
333	2083	4153
334	2089	4146
335	2095	4140
336	2101	4133
337	2107	4127
338	2113	4120
339	2119	4113
340	2126	4109
341	2132	4102
342	2138	4095
343	2145	4090
344	2151	4084
345	2158	4079
346	2164	4073
347	2170	4066
348	2177	4060
349	2182	4053
350	2189	4048
351	2195	4041
352	2201	4034
353	2208	4029
354	2213	4022
355	2219	4015
356	2226	4011
357	2232	4004
358	2239	3998
359	2245	3991
360	2251	3984
361	2257	3979
362	2263	3972
363	2269	3965
364	2275	3958
365	2281	3952
366	2288	3946
367	2294	3939
368	2299	3932
369	2306	3927
370	2312	3920
371	2318	3913
372	2325	3908
373	2330	3901
374	2337	3895
375	2343	3889
376	2349	3882
377	2356	3877
378	2362	3870
379	2368	3864
380	2374	3858
381	2380	3851
382	2387	3845
383	2392	3838
384	2398	3831
385	2404	3825
386	2410	3818
387	2418	3815
388	2425	3809
389	2431	3803
390	2438	3798
391	2444	3791
392	2451	3786
393	2458	3780
394	2464	3775
395	2470	3768
396	2476	3761
397	2483	3755
398	2489	3749
399	2494	3742
400	2501	3736
401	2507	3729
402	2514	3724
403	2521	3719
404	2527	3713
405	2534	3708
406	2541	3702
407	2547	3696
408	2553	3690
409	2559	3683
410	2566	3678
411	2572	3671
412	2578	3665
413	2584	3658
414	2590	3652
415	2597	3646
416	2603	3639
417	2609	3633
418	2615	3627
419	2621	3620
420	2627	3613
421	2634	3607
422	2639	3601
423	2646	3595
424	2653	3589
425	2658	3582
426	2665	3576
427	2671	3569
428	2677	3563
429	2683	3557
430	2689	3550
431	2695	3544
432	2701	3537
433	2707	3531
434	2714	3525
435	2720	3519
436	2727	3514
437	2733	3507
438	2739	3501
439	2747	3496
440	2753	3489
441	2759	3483
442	2765	3477
443	2771	3470
444	2777	3464
445	2783	3457
446	2789	3451
447	2796	3445
448	2801	3438
449	2808	3432
450	2814	3425
451	2820	3419
452	2828	3415
453	2834	3408
454	2841	3403
455	2846	3396
456	2852	3389
457	2860	3384
458	2866	3378
459	2872	3371
460	2878	3365
461	2884	3358
462	2890	3352
463	2896	3346
464	2902	3339
465	2909	3333
466	2914	3326
467	2921	3320
468	2927	3314
469	2933	3308
470	2940	3302
471	2946	3295
472	2952	3289
473	2960	3284
474	2966	3278
475	2972	3272
476	2979	3266
477	2985	3260
478	2992	3254
479	2998	3248
480	3005	3242
481	3011	3236
482	3017	3230
483	3024	3224
484	3030	3218
485	3037	3212
486	3043	3205
487	3049	3199
488	3055	3193
489	3061	3186
490	3067	3180
491	3073	3173
492	3079	3167
493	3085	3160
494	3091	3153
495	3097	3147
496	3102	3140
497	3108	3133
498	3114	3126
499	3120	3120
500	3126	3114
501	3132	3107
502	3138	3100
503	3144	3094
504	3150	3088
505	3156	3081
506	3163	3076
507	3169	3069
508	3175	3063
509	3181	3057
510	3187	3050
511	3194	3044
512	3200	3037
513	3206	3031
514	3212	3025
515	3218	3018
516	3224	3012
517	3231	3007
518	3237	3000
519	3244	2994
520	3250	2988
521	3256	2982
522	3263	2976
523	3269	2969
524	3276	2964
525	3282	2957
526	3288	2951
527	3294	2944
528	3300	2938
529	3306	2932
530	3312	2925
531	3318	2919
532	3324	2913
533	3330	2906
534	3337	2901
535	3343	2894
536	3349	2888
537	3356	2882
538	3362	2876
539	3369	2870
540	3376	2864
541	3382	2858
542	3388	2851
543	3394	2845
544	3400	2838
545	3406	2832
546	3412	2826
547	3418	2819
548	3424	2813
549	3430	2806
550	3437	2800
551	3443	2794
552	3449	2788
553	3456	2783
554	3463	2776
555	3470	2771
556	3475	2764
557	3481	2757
558	3487	2751
559	3493	2745
560	3499	2738
561	3506	2732
562	3512	2726
563	3519	2720
564	3525	2714
565	3531	2707
566	3537	2701
567	3543	2695
568	3550	2689
569	3556	2683
570	3562	2676
571	3569	2671
572	3575	2664
573	3582	2658
574	3588	2652
575	3594	2645
576	3600	2639
577	3606	2632
578	3612	2626
579	3618	2620
580	3624	2614
581	3631	2608
582	3638	2602
583	3644	2595
584	3651	2590
585	3657	2583
586	3663	2577
587	3670	2571
588	3676	2565
589	3682	2559
590	3688	2552
591	3695	2546
592	3701	2540
593	3707	2533
594	3713	2527
595	3719	2521
596	3725	2514
597	3731	2508
598	3737	2502
599	3743	2495
600	3750	2489
601	3756	2483
602	3763	2478
603	3770	2472
604	3776	2465
605	3782	2459
606	3788	2453
607	3795	2446
608	3801	2440
609	3807	2434
610	3813	2428
611	3819	2421
612	3825	2415
613	3831	2408
614	3837	2402
615	3844	2396
616	3850	2390
617	3856	2383
618	3862	2377
619	3868	2371
620	3875	2365
621	3882	2359
622	3888	2352
623	3894	2346
624	3900	2340
625	3906	2333
626	3913	2327
627	3918	2321
628	3925	2315
629	3931	2308
630	3937	2302
631	3943	2296
632	3949	2289
633	3956	2283
634	3963	2278
635	3969	2271
636	3977	2266
637	3983	2260
638	3990	2254
639	3996	2248
640	4003	2241
641	4010	2236
642	4016	2229
643	4022	2223
644	4033	2220
645	4040	2214
646	4046	2207
647	4052	2201
648	4058	2195
649	4064	2188
650	4071	2182
651	4077	2176
652	4083	2169
653	4090	2163
654	4096	2157
655	4102	2151
656	4109	2145
657	4115	2139
658	4122	2132
659	4127	2126
660	4133	2119
661	4140	2113
662	4145	2107
663	4152	2101
664	4158	2094
665	4164	2088
666	4171	2082
667	4177	2076
668	4183	2069
669	4190	2063
670	4196	2057
671	4202	2051
672	4208	2045
673	4214	2038
674	4221	2032
675	4227	2026
676	4233	2019
677	4239	2013
678	4245	2007
679	4252	2000
680	4257	1994
681	4263	1988
682	4271	1982
683	4277	1975
684	4283	1969
685	4289	1963
686	4295	1956
687	4302	1950
688	4308	1944
689	4314	1938
690	4320	1932
691	4326	1925
692	4333	1919
693	4339	1913
694	4345	1906
695	4351	1900
696	4357	1894
697	4363	1887
698	4369	1881
699	4375	1875
700	4381	1869
701	4387	1862
702	4394	1856
703	4401	1850
704	4408	1844
705	4414	1838
706	4420	1831
707	4427	1825
708	4433	1819
709	4439	1813
710	4445	1807
711	4451	1800
712	4457	1794
713	4464	1788
714	4470	1782
715	4477	1776
716	4483	1769
717	4490	1763
718	4498	1758
719	4504	1751
720	4510	1745
721	4516	1739
722	4522	1732
723	4528	1726
724	4534	1720
725	4541	1713
726	4547	1707
727	4553	1701
728	4560	1695
729	4566	1689
730	4573	1682
731	4578	1676
732	4584	1670
733	4591	1663
734	4597	1657
735	4603	1651
736	4610	1645
737	4616	1638
738	4622	1632
739	4628	1626
740	4634	1619
741	4641	1613
742	4647	1607
743	4653	1601
744	4660	1595
745	4666	1588
746	4672	1582
747	4678	1576
748	4684	1569
749	4691	1563
750	4697	1557
751	4703	1551
752	4710	1545
753	4715	1538
754	4722	1532
755	4728	1526
756	4734	1519
757	4740	1513
758	4746	1507
759	4752	1500
760	4759	1494
761	4765	1488
762	4771	1482
763	4777	1475
764	4783	1469
765	4789	1463
766	4795	1456
767	4803	1450
768	4809	1444
769	4816	1438
770	4822	1432
771	4828	1425
772	4834	1419
773	4840	1413
774	4846	1407
775	4853	1400
776	4859	1394
777	4865	1388
778	4871	1381
779	4876	1375
780	4883	1369
781	4889	1362
782	4895	1356
783	4901	1350
784	4907	1344
785	4913	1337
786	4920	1331
787	4926	1325
788	4933	1319
789	4939	1312
790	4945	1306
791	4952	1300
792	4959	1294
793	4966	1288
794	4973	1282
795	4979	1276
796	4986	1269
797	4991	1263
798	4998	1257
799	5004	1251
800	5009	1244
801	5018	1239
802	5026	1233
803	5032	1226
804	5038	1220
805	5045	1214
806	5050	1207
807	5057	1201
808	5063	1195
809	5069	1189
810	5075	1182
811	5082	1176
812	5088	1170
813	5095	1164
814	5101	1157
815	5107	1151
816	5113	1145
817	5119	1139
818	5125	1132
819	5132	1126
820	5138	1120
821	5145	1114
822	5151	1107
823	5157	1101
824	5164	1095
825	5170	1089
826	5176	1082
827	5182	1076
828	5188	1070
829	5195	1064
830	5200	1057
831	5208	1051
832	5214	1045
833	5220	1039
834	5227	1033
835	5233	1026
836	5240	1020
837	5246	1014
838	5252	1007
839	5258	1001
840	5265	995
841	5270	989
842	5277	982
843	5283	976
844	5289	970
845	5295	963
846	5301	957
847	5307	951
848	5313	945
849	5319	938
850	5326	932
851	5332	926
852	5339	920
853	5345	913
854	5351	907
855	5358	901
856	5365	895
857	5371	888
858	5377	882
859	5383	876
860	5389	870
861	5395	863
862	5401	857
863	5407	851
864	5413	844
865	5419	838
866	5426	832
867	5432	826
868	5439	819
